,C_electricity_price_[$/MWh]
15/11/2009 1:05,0
15/11/2009 1:10,2
15/11/2009 1:15,3
15/11/2009 1:20,4
15/11/2009 1:25,6
15/11/2009 1:30,8
15/11/2009 1:35,9
15/11/2009 1:40,12
15/11/2009 1:45,14
15/11/2009 1:50,20
15/11/2009 1:55,6
15/11/2009 2:00,3
15/11/2009 2:05,5
15/11/2009 2:10,6
15/11/2009 2:15,3
15/11/2009 2:20,2
15/11/2009 2:25,5
15/11/2009 2:30,3
15/11/2009 2:35,12
15/11/2009 2:40,14
15/11/2009 2:45,18
15/11/2009 2:50,12
15/11/2009 2:55,14
15/11/2009 3:00,12
15/11/2009 3:05,6
15/11/2009 3:10,4
15/11/2009 3:15,3
15/11/2009 3:20,2
15/11/2009 3:25,1
15/11/2009 3:30,5
15/11/2009 3:35,3
15/11/2009 3:40,20
15/11/2009 3:45,19
15/11/2009 3:50,3
15/11/2009 3:55,3
15/11/2009 4:00,3
15/11/2009 4:05,4
15/11/2009 4:10,5
15/11/2009 4:15,12
15/11/2009 4:20,14
15/11/2009 4:25,18
15/11/2009 4:30,12
15/11/2009 4:35,14
15/11/2009 4:40,12
15/11/2009 4:45,6
15/11/2009 4:50,4
15/11/2009 4:55,3
15/11/2009 5:00,2
15/11/2009 5:05,1
15/11/2009 5:10,5
15/11/2009 5:15,3
15/11/2009 5:20,20
15/11/2009 5:25,19
15/11/2009 5:30,3
15/11/2009 5:35,3
15/11/2009 5:40,3
15/11/2009 5:45,4
15/11/2009 5:50,5
15/11/2009 5:55,12
15/11/2009 6:00,14
15/11/2009 6:05,18
15/11/2009 6:10,12
15/11/2009 6:15,14
15/11/2009 6:20,12
15/11/2009 6:25,6
15/11/2009 6:30,4
15/11/2009 6:35,3
15/11/2009 6:40,2
15/11/2009 6:45,1
15/11/2009 6:50,5
15/11/2009 6:55,3
15/11/2009 7:00,20
15/11/2009 7:05,19
15/11/2009 7:10,3
15/11/2009 7:15,3
15/11/2009 7:20,3
15/11/2009 7:25,4
15/11/2009 7:30,5
15/11/2009 7:35,3.033333333
15/11/2009 7:40,3.333333333
15/11/2009 7:45,13
15/11/2009 7:50,19
15/11/2009 7:55,5
15/11/2009 8:00,3.033333333
15/11/2009 8:05,3
15/11/2009 8:10,6
15/11/2009 8:15,3
15/11/2009 8:20,3
15/11/2009 8:25,3.466666667
15/11/2009 8:30,5
15/11/2009 8:35,3
15/11/2009 8:40,3.333333333
15/11/2009 8:45,3.1
15/11/2009 8:50,3
15/11/2009 8:55,3.3
15/11/2009 9:00,3
15/11/2009 9:05,3
15/11/2009 9:10,3.333333333
15/11/2009 9:15,4
15/11/2009 9:20,3
15/11/2009 9:25,3.233333333
15/11/2009 9:30,3.033333333
15/11/2009 9:35,2.933333333
15/11/2009 9:40,3.366666667
