,C_electricity_price_[$/MWh]
15/11/2009 1:05,94.36666667
15/11/2009 1:10,94.7
15/11/2009 1:15,94.4
15/11/2009 1:20,94.33333333
15/11/2009 1:25,94.53333333
15/11/2009 1:30,94.16666667
15/11/2009 1:35,94.36666667
15/11/2009 1:40,94.66666667
15/11/2009 1:45,94.33333333
15/11/2009 1:50,94.1
15/11/2009 1:55,94.9
15/11/2009 2:00,94.63333333
15/11/2009 2:05,94
15/11/2009 2:10,94.3
15/11/2009 2:15,94
15/11/2009 2:20,94
15/11/2009 2:25,94.3
15/11/2009 2:30,94
15/11/2009 2:35,94
15/11/2009 2:40,94.3
15/11/2009 2:45,94
15/11/2009 2:50,94
15/11/2009 2:55,94.33333333
15/11/2009 3:00,94
15/11/2009 3:05,94
15/11/2009 3:10,94.33333333
15/11/2009 3:15,94.03333333
15/11/2009 3:20,94
15/11/2009 3:25,94.3
15/11/2009 3:30,94
15/11/2009 3:35,94.03333333
15/11/2009 3:40,94.3
15/11/2009 3:45,94.06666667
15/11/2009 3:50,94
15/11/2009 3:55,94.36666667
15/11/2009 4:00,94
15/11/2009 4:05,93.96666667
15/11/2009 4:10,94.3
15/11/2009 4:15,94
15/11/2009 4:20,94
15/11/2009 4:25,94.36666667
15/11/2009 4:30,94.03333333
15/11/2009 4:35,94
15/11/2009 4:40,94.3
15/11/2009 4:45,94.1
15/11/2009 4:50,94
15/11/2009 4:55,94.33333333
15/11/2009 5:00,94
15/11/2009 5:05,93.96666667
15/11/2009 5:10,94.4
15/11/2009 5:15,94
15/11/2009 5:20,94.03333333
15/11/2009 5:25,94.3
15/11/2009 5:30,94
15/11/2009 5:35,94
15/11/2009 5:40,94.3
15/11/2009 5:45,94.1
15/11/2009 5:50,93.93333333
15/11/2009 5:55,94.3
15/11/2009 6:00,93.96666667
15/11/2009 6:05,94.06666667
15/11/2009 6:10,94.3
15/11/2009 6:15,94
15/11/2009 6:20,94
15/11/2009 6:25,94.33333333
15/11/2009 6:30,94
15/11/2009 6:35,93.96666667
15/11/2009 6:40,94.36666667
15/11/2009 6:45,94.06666667
15/11/2009 6:50,94
15/11/2009 6:55,94.33333333
15/11/2009 7:00,93.96666667
15/11/2009 7:05,93.93333333
15/11/2009 7:10,94.33333333
15/11/2009 7:15,94
15/11/2009 7:20,94
15/11/2009 7:25,94.3
15/11/2009 7:30,94
15/11/2009 7:35,94.03333333
15/11/2009 7:40,94.33333333
15/11/2009 7:45,94
15/11/2009 7:50,94
15/11/2009 7:55,94.4
15/11/2009 8:00,94.03333333
15/11/2009 8:05,94
15/11/2009 8:10,94.4
15/11/2009 8:15,94
15/11/2009 8:20,94
15/11/2009 8:25,94.46666667
15/11/2009 8:30,94
15/11/2009 8:35,94
15/11/2009 8:40,94.33333333
15/11/2009 8:45,94.1
15/11/2009 8:50,94
15/11/2009 8:55,94.3
15/11/2009 9:00,94
15/11/2009 9:05,94
15/11/2009 9:10,94.33333333
15/11/2009 9:15,94
15/11/2009 9:20,94
15/11/2009 9:25,94.23333333
15/11/2009 9:30,94.03333333
15/11/2009 9:35,93.93333333
15/11/2009 9:40,94.36666667
15/11/2009 9:45,94.06666667
15/11/2009 9:50,94
15/11/2009 9:55,94.36666667
15/11/2009 10:00,94.03333333
15/11/2009 10:05,94.06666667
15/11/2009 10:10,94.3
15/11/2009 10:15,94.06666667
15/11/2009 10:20,94.03333333
15/11/2009 10:25,94.43333333
15/11/2009 10:30,94.06666667
15/11/2009 10:35,94.03333333
15/11/2009 10:40,94.4
15/11/2009 10:45,94.13333333
15/11/2009 10:50,94
15/11/2009 10:55,94.3
15/11/2009 11:00,94
15/11/2009 11:05,94
15/11/2009 11:10,94.3
15/11/2009 11:15,94
15/11/2009 11:20,94
15/11/2009 11:25,94.3
15/11/2009 11:30,94
15/11/2009 11:35,94.03333333
15/11/2009 11:40,94.3
15/11/2009 11:45,94.06666667
15/11/2009 11:50,94
15/11/2009 11:55,94.3
15/11/2009 12:00,94
15/11/2009 12:05,94.03333333
15/11/2009 12:10,94.33333333
15/11/2009 12:15,94
15/11/2009 12:20,94
15/11/2009 12:25,94.3
15/11/2009 12:30,94
15/11/2009 12:35,94
15/11/2009 12:40,94.3
15/11/2009 12:45,94.03333333
15/11/2009 12:50,95.23333333
15/11/2009 12:55,94.8
15/11/2009 13:00,94
15/11/2009 13:05,94.03333333
15/11/2009 13:10,94.33333333
15/11/2009 13:15,94
15/11/2009 13:20,93.93333333
15/11/2009 13:25,94.3
15/11/2009 13:30,94
15/11/2009 13:35,94
15/11/2009 13:40,94.26666667
15/11/2009 13:45,94
15/11/2009 13:50,94
15/11/2009 13:55,94.33333333
15/11/2009 14:00,94
15/11/2009 14:05,93.96666667
15/11/2009 14:10,94.3
15/11/2009 14:15,93.96666667
15/11/2009 14:20,94
15/11/2009 14:25,94.33333333
15/11/2009 14:30,93.96666667
15/11/2009 14:35,94
15/11/2009 14:40,94.43333333
15/11/2009 14:45,94.1
15/11/2009 14:50,94
15/11/2009 14:55,94.33333333
15/11/2009 15:00,93.96666667
15/11/2009 15:05,94
15/11/2009 15:10,94.3
15/11/2009 15:15,94.1
15/11/2009 15:20,94
15/11/2009 15:25,94.33333333
15/11/2009 15:30,94
15/11/2009 15:35,94
15/11/2009 15:40,94.3
15/11/2009 15:45,94.1
15/11/2009 15:50,94
15/11/2009 15:55,94.36666667
15/11/2009 16:00,94
15/11/2009 16:05,94
15/11/2009 16:10,94.3
15/11/2009 16:15,94
15/11/2009 16:20,94
15/11/2009 16:25,94.3
15/11/2009 16:30,94
15/11/2009 16:35,94
15/11/2009 16:40,94.33333333
15/11/2009 16:45,94.16666667
15/11/2009 16:50,94.03333333
15/11/2009 16:55,94.3
15/11/2009 17:00,94
15/11/2009 17:05,94
15/11/2009 17:10,94.3
15/11/2009 17:15,93.96666667
15/11/2009 17:20,94
15/11/2009 17:25,94.4
15/11/2009 17:30,94
15/11/2009 17:35,94
15/11/2009 17:40,94.3
15/11/2009 17:45,94.06666667
15/11/2009 17:50,94.03333333
15/11/2009 17:55,94.3
15/11/2009 18:00,93.96666667
15/11/2009 18:05,93.96666667
15/11/2009 18:10,94.26666667
15/11/2009 18:15,94
15/11/2009 18:20,94.03333333
15/11/2009 18:25,94.3
15/11/2009 18:30,94
15/11/2009 18:35,94
15/11/2009 18:40,94.3
15/11/2009 18:45,94.06666667
15/11/2009 18:50,93.96666667
15/11/2009 18:55,94.33333333
15/11/2009 19:00,94
15/11/2009 19:05,94
15/11/2009 19:10,94.33333333
15/11/2009 19:15,94
15/11/2009 19:20,93.93333333
15/11/2009 19:25,94.33333333
15/11/2009 19:30,94
15/11/2009 19:35,94
15/11/2009 19:40,94.33333333
15/11/2009 19:45,94.03333333
15/11/2009 19:50,93.93333333
15/11/2009 19:55,94.36666667
15/11/2009 20:00,94
15/11/2009 20:05,93.96666667
15/11/2009 20:10,94.3
15/11/2009 20:15,94.06666667
15/11/2009 20:20,94
15/11/2009 20:25,94.26666667
15/11/2009 20:30,94
15/11/2009 20:35,94
15/11/2009 20:40,94.33333333
15/11/2009 20:45,94.1
15/11/2009 20:50,94
15/11/2009 20:55,94.3
15/11/2009 21:00,94
15/11/2009 21:05,94.03333333
15/11/2009 21:10,94.3
15/11/2009 21:15,94
15/11/2009 21:20,93.9
15/11/2009 21:25,94.4
15/11/2009 21:30,94
15/11/2009 21:35,94
15/11/2009 21:40,94.36666667
15/11/2009 21:45,94.03333333
15/11/2009 21:50,94
15/11/2009 21:55,94.36666667
15/11/2009 22:00,94
15/11/2009 22:05,94.1
15/11/2009 22:10,94.36666667
15/11/2009 22:15,94.16666667
15/11/2009 22:20,94.13333333
15/11/2009 22:25,94.36666667
15/11/2009 22:30,94.1
15/11/2009 22:35,94.03333333
15/11/2009 22:40,94.5
15/11/2009 22:45,94.16666667
15/11/2009 22:50,94.06666667
15/11/2009 22:55,94.66666667
15/11/2009 23:00,94.16666667
15/11/2009 23:05,94.1
15/11/2009 23:10,94.5
15/11/2009 23:15,94.03333333
15/11/2009 23:20,94
15/11/2009 23:25,94.46666667
15/11/2009 23:30,94.06666667
15/11/2009 23:35,94.1
15/11/2009 23:40,94.43333333
15/11/2009 23:45,94.13333333
15/11/2009 23:50,94.06666667
15/11/2009 23:55,94.43333333
16/11/2009 0:00,94.03333333
16/11/2009 0:05,94.2
16/11/2009 0:10,94.66666667
16/11/2009 0:15,94.43333333
16/11/2009 0:20,94.36666667
16/11/2009 0:25,94.76666667
16/11/2009 0:30,94.26666667
16/11/2009 0:35,94.36666667
16/11/2009 0:40,94.8
16/11/2009 0:45,94.53333333
