,C_electricity_price_[$/MWh]
15/11/2009 1:05,50
15/11/2009 1:10,50
15/11/2009 1:15,50
15/11/2009 1:20,50
15/11/2009 1:25,100
15/11/2009 1:30,100
15/11/2009 1:35,100
15/11/2009 1:40,100
15/11/2009 1:45,100
15/11/2009 1:50,-50
15/11/2009 1:55,-50
15/11/2009 2:00,-50
15/11/2009 2:05,-50
15/11/2009 2:10,50
15/11/2009 2:15,50
15/11/2009 2:20,50
15/11/2009 2:25,50
15/11/2009 2:30,100
15/11/2009 2:35,100
15/11/2009 2:40,100
15/11/2009 2:45,100
15/11/2009 2:50,100
15/11/2009 2:55,-50
15/11/2009 3:00,-50
15/11/2009 3:05,-50
15/11/2009 3:10,-50
15/11/2009 3:15,50
15/11/2009 3:20,50
15/11/2009 3:25,50
15/11/2009 3:30,50
15/11/2009 3:35,100
15/11/2009 3:40,100
15/11/2009 3:45,100
15/11/2009 3:50,100
15/11/2009 3:55,100
15/11/2009 4:00,-50
15/11/2009 4:05,-50
15/11/2009 4:10,-50
15/11/2009 4:15,-50
15/11/2009 4:20,50
15/11/2009 4:25,50
15/11/2009 4:30,50
15/11/2009 4:35,50
15/11/2009 4:40,100
15/11/2009 4:45,100
15/11/2009 4:50,100
15/11/2009 4:55,100
15/11/2009 5:00,100
15/11/2009 5:05,-50
15/11/2009 5:10,-50
15/11/2009 5:15,-50
15/11/2009 5:20,-50
15/11/2009 5:25,50
15/11/2009 5:30,50
15/11/2009 5:35,50
15/11/2009 5:40,50
15/11/2009 5:45,100
15/11/2009 5:50,100
15/11/2009 5:55,100
15/11/2009 6:00,100
15/11/2009 6:05,100
15/11/2009 6:10,-50
15/11/2009 6:15,-50
15/11/2009 6:20,-50
15/11/2009 6:25,-50
15/11/2009 6:30,50
15/11/2009 6:35,50
15/11/2009 6:40,50
15/11/2009 6:45,50
15/11/2009 6:50,100
15/11/2009 6:55,100
15/11/2009 7:00,100
15/11/2009 7:05,100
15/11/2009 7:10,100
15/11/2009 7:15,-50
15/11/2009 7:20,-50
15/11/2009 7:25,-50
15/11/2009 7:30,-50
15/11/2009 7:35,50
15/11/2009 7:40,50
15/11/2009 7:45,50
15/11/2009 7:50,50
15/11/2009 7:55,100
15/11/2009 8:00,100
15/11/2009 8:05,100
15/11/2009 8:10,100
15/11/2009 8:15,100
15/11/2009 8:20,-50
15/11/2009 8:25,-50
15/11/2009 8:30,-50
15/11/2009 8:35,-50
15/11/2009 8:40,50
15/11/2009 8:45,50
15/11/2009 8:50,50
15/11/2009 8:55,50
15/11/2009 9:00,100
15/11/2009 9:05,100
15/11/2009 9:10,100
15/11/2009 9:15,100
15/11/2009 9:20,100
15/11/2009 9:25,-50
15/11/2009 9:30,-50
15/11/2009 9:35,-50
15/11/2009 9:40,-50
15/11/2009 9:45,50
15/11/2009 9:50,50
15/11/2009 9:55,50
15/11/2009 10:00,50
15/11/2009 10:05,100
15/11/2009 10:10,100
15/11/2009 10:15,100
15/11/2009 10:20,100
15/11/2009 10:25,100
15/11/2009 10:30,-50
15/11/2009 10:35,-50
15/11/2009 10:40,-50
15/11/2009 10:45,-50
15/11/2009 10:50,50
15/11/2009 10:55,50
15/11/2009 11:00,50
15/11/2009 11:05,50
15/11/2009 11:10,100
15/11/2009 11:15,100
15/11/2009 11:20,100
15/11/2009 11:25,100
15/11/2009 11:30,100
15/11/2009 11:35,-50
15/11/2009 11:40,-50
15/11/2009 11:45,-50
15/11/2009 11:50,-50
15/11/2009 11:55,50
15/11/2009 12:00,50
15/11/2009 12:05,50
15/11/2009 12:10,50
15/11/2009 12:15,100
15/11/2009 12:20,100
15/11/2009 12:25,100
15/11/2009 12:30,100
